Grupo ocupación;Fecha corte;DISPONIBLE;OCUPADA
OCUPACIÓN HOSPITALIZACIÓN;20/07/2020 6:00:20 a.m.;35;194
OCUPACIÓN HOSPITALIZACIÓN;21/07/2020 3:00:10 a.m.;41;203
OCUPACIÓN HOSPITALIZACIÓN;21/07/2020 6:00:32 a.m.;42;202
OCUPACIÓN HOSPITALIZACIÓN;22/07/2020 3:00:15 a.m.;45;200
OCUPACIÓN HOSPITALIZACIÓN;22/07/2020 6:00:37 a.m.;43;202
OCUPACIÓN HOSPITALIZACIÓN;23/07/2020 3:00:33 a.m.;45;200
OCUPACIÓN HOSPITALIZACIÓN;23/07/2020 6:00:25 a.m.;39;206
OCUPACIÓN HOSPITALIZACIÓN;24/07/2020 3:00:21 a.m.;40;205
OCUPACIÓN HOSPITALIZACIÓN;24/07/2020 6:00:43 a.m.;38;207
OCUPACIÓN HOSPITALIZACIÓN;25/07/2020 3:00:22 a.m.;53;192
OCUPACIÓN HOSPITALIZACIÓN;25/07/2020 6:00:14 a.m.;51;194
OCUPACIÓN HOSPITALIZACIÓN;26/07/2020 3:00:24 a.m.;50;195
OCUPACIÓN HOSPITALIZACIÓN;26/07/2020 6:00:36 a.m.;47;198
OCUPACIÓN HOSPITALIZACIÓN;27/07/2020 3:00:26 a.m.;48;197
OCUPACIÓN HOSPITALIZACIÓN;27/07/2020 6:00:27 a.m.;48;197
OCUPACIÓN HOSPITALIZACIÓN;28/07/2020 3:00:39 a.m.;43;202
OCUPACIÓN HOSPITALIZACIÓN;28/07/2020 6:00:34 a.m.;39;206
OCUPACIÓN HOSPITALIZACIÓN;29/07/2020 3:00:16 a.m.;49;196
OCUPACIÓN HOSPITALIZACIÓN;29/07/2020 6:00:21 a.m.;45;200
OCUPACIÓN HOSPITALIZACIÓN;30/07/2020 3:00:19 a.m.;38;194
OCUPACIÓN HOSPITALIZACIÓN;30/07/2020 6:00:15 a.m.;33;199
OCUPACIÓN HOSPITALIZACIÓN;31/07/2020 3:00:35 a.m.;55;190
OCUPACIÓN HOSPITALIZACIÓN;31/07/2020 6:00:32 a.m.;49;196
OCUPACIÓN HOSPITALIZACIÓN;1/08/2020 3:00:15 a.m.;66;179
OCUPACIÓN HOSPITALIZACIÓN;1/08/2020 6:00:21 a.m.;64;181
OCUPACIÓN HOSPITALIZACIÓN;2/08/2020 3:00:13 a.m.;72;173
OCUPACIÓN HOSPITALIZACIÓN;2/08/2020 6:00:28 a.m.;71;174
OCUPACIÓN HOSPITALIZACIÓN;3/08/2020 3:00:37 a.m.;50;195
OCUPACIÓN HOSPITALIZACIÓN;3/08/2020 6:00:19 a.m.;48;197
OCUPACIÓN HOSPITALIZACIÓN;4/08/2020 3:00:34 a.m.;50;195
OCUPACIÓN HOSPITALIZACIÓN;4/08/2020 6:00:37 a.m.;44;201
OCUPACIÓN HOSPITALIZACIÓN;5/08/2020 3:00:38 a.m.;52;193
OCUPACIÓN HOSPITALIZACIÓN;5/08/2020 6:00:28 a.m.;49;196
OCUPACIÓN HOSPITALIZACIÓN;6/08/2020 3:00:32 a.m.;55;190
OCUPACIÓN HOSPITALIZACIÓN;6/08/2020 6:00:34 a.m.;52;193
OCUPACIÓN HOSPITALIZACIÓN;7/08/2020 3:00:23 a.m.;61;184
OCUPACIÓN HOSPITALIZACIÓN;7/08/2020 6:00:15 a.m.;61;184
OCUPACIÓN HOSPITALIZACIÓN;8/08/2020 3:00:13 a.m.;58;187
OCUPACIÓN HOSPITALIZACIÓN;8/08/2020 6:00:13 a.m.;53;192
OCUPACIÓN HOSPITALIZACIÓN;9/08/2020 3:00:11 a.m.;51;194
OCUPACIÓN HOSPITALIZACIÓN;9/08/2020 6:00:17 a.m.;47;198
OCUPACIÓN HOSPITALIZACIÓN;10/08/2020 3:00:30 a.m.;28;204
OCUPACIÓN HOSPITALIZACIÓN;10/08/2020 6:00:20 a.m.;26;206
OCUPACIÓN HOSPITALIZACIÓN;11/08/2020 3:00:24 a.m.;28;204
OCUPACIÓN HOSPITALIZACIÓN;11/08/2020 6:00:16 a.m.;25;207
OCUPACIÓN HOSPITALIZACIÓN;12/08/2020 3:00:13 a.m.;31;201
OCUPACIÓN HOSPITALIZACIÓN;12/08/2020 6:00:32 a.m.;26;206
OCUPACIÓN HOSPITALIZACIÓN;13/08/2020 3:00:19 a.m.;16;216
OCUPACIÓN HOSPITALIZACIÓN;13/08/2020 6:00:32 a.m.;10;222
OCUPACIÓN HOSPITALIZACIÓN;14/08/2020 3:00:13 a.m.;22;210
OCUPACIÓN HOSPITALIZACIÓN;14/08/2020 6:00:32 a.m.;20;212
OCUPACIÓN HOSPITALIZACIÓN;15/08/2020 3:00:18 a.m.;37;195
OCUPACIÓN HOSPITALIZACIÓN;15/08/2020 6:00:15 a.m.;34;198
OCUPACIÓN HOSPITALIZACIÓN;17/08/2020 3:00:34 a.m.;39;193
OCUPACIÓN HOSPITALIZACIÓN;17/08/2020 6:00:22 a.m.;36;196
OCUPACIÓN HOSPITALIZACIÓN;18/08/2020 3:00:27 a.m.;24;207
OCUPACIÓN HOSPITALIZACIÓN;18/08/2020 6:00:36 a.m.;19;212
OCUPACIÓN HOSPITALIZACIÓN;19/08/2020 3:00:16 a.m.;33;198
OCUPACIÓN HOSPITALIZACIÓN;19/08/2020 6:00:13 a.m.;30;201
OCUPACIÓN HOSPITALIZACIÓN;20/08/2020 3:00:35 a.m.;29;203
OCUPACIÓN HOSPITALIZACIÓN;20/08/2020 6:00:26 a.m.;27;205
OCUPACIÓN HOSPITALIZACIÓN;21/08/2020 3:00:22 a.m.;48;184
OCUPACIÓN HOSPITALIZACIÓN;21/08/2020 6:00:12 a.m.;45;187
OCUPACIÓN HOSPITALIZACIÓN;22/08/2020 3:00:13 a.m.;64;168
OCUPACIÓN HOSPITALIZACIÓN;22/08/2020 6:00:19 a.m.;62;170
OCUPACIÓN HOSPITALIZACIÓN;23/08/2020 3:00:38 a.m.;58;174
OCUPACIÓN HOSPITALIZACIÓN;23/08/2020 6:00:11 a.m.;57;175
OCUPACIÓN HOSPITALIZACIÓN;24/08/2020 3:00:20 a.m.;57;175
OCUPACIÓN HOSPITALIZACIÓN;24/08/2020 6:00:33 a.m.;55;177
OCUPACIÓN HOSPITALIZACIÓN;25/08/2020 3:00:34 a.m.;57;175
OCUPACIÓN HOSPITALIZACIÓN;25/08/2020 6:00:16 a.m.;53;179
OCUPACIÓN HOSPITALIZACIÓN;26/08/2020 3:00:22 a.m.;48;184
OCUPACIÓN HOSPITALIZACIÓN;26/08/2020 6:00:23 a.m.;44;188
OCUPACIÓN HOSPITALIZACIÓN;27/08/2020 3:00:11 a.m.;44;188
OCUPACIÓN HOSPITALIZACIÓN;27/08/2020 6:00:15 a.m.;42;190
OCUPACIÓN HOSPITALIZACIÓN;28/08/2020 3:00:16 a.m.;50;181
OCUPACIÓN HOSPITALIZACIÓN;28/08/2020 6:00:38 a.m.;46;185
OCUPACIÓN HOSPITALIZACIÓN;29/08/2020 3:00:36 a.m.;53;179
OCUPACIÓN HOSPITALIZACIÓN;29/08/2020 6:00:37 a.m.;52;180
OCUPACIÓN HOSPITALIZACIÓN;30/08/2020 3:00:33 a.m.;58;174
OCUPACIÓN HOSPITALIZACIÓN;30/08/2020 6:00:38 a.m.;56;176
OCUPACIÓN HOSPITALIZACIÓN;31/08/2020 3:00:27 a.m.;47;185
OCUPACIÓN HOSPITALIZACIÓN;31/08/2020 6:00:31 a.m.;43;189
OCUPACIÓN HOSPITALIZACIÓN;1/09/2020 3:00:35 a.m.;43;189
OCUPACIÓN HOSPITALIZACIÓN;1/09/2020 6:00:12 a.m.;42;190
OCUPACIÓN HOSPITALIZACIÓN;2/09/2020 3:00:29 a.m.;46;186
OCUPACIÓN HOSPITALIZACIÓN;2/09/2020 6:00:19 a.m.;44;188
OCUPACIÓN HOSPITALIZACIÓN;3/09/2020 3:00:41 a.m.;37;195
OCUPACIÓN HOSPITALIZACIÓN;3/09/2020 6:00:31 a.m.;33;199
OCUPACIÓN HOSPITALIZACIÓN;4/09/2020 3:00:28 a.m.;41;191
OCUPACIÓN HOSPITALIZACIÓN;4/09/2020 6:00:29 a.m.;40;192
OCUPACIÓN HOSPITALIZACIÓN;5/09/2020 3:00:41 a.m.;48;184
OCUPACIÓN HOSPITALIZACIÓN;5/09/2020 6:00:30 a.m.;47;185
OCUPACIÓN HOSPITALIZACIÓN;6/09/2020 3:00:32 a.m.;45;187
OCUPACIÓN HOSPITALIZACIÓN;6/09/2020 6:00:28 a.m.;42;190
OCUPACIÓN HOSPITALIZACIÓN;7/09/2020 3:00:39 a.m.;38;194
OCUPACIÓN HOSPITALIZACIÓN;7/09/2020 6:00:30 a.m.;38;194
OCUPACIÓN HOSPITALIZACIÓN;8/09/2020 3:00:33 a.m.;43;189
OCUPACIÓN HOSPITALIZACIÓN;8/09/2020 6:00:38 a.m.;43;189
OCUPACIÓN HOSPITALIZACIÓN;9/09/2020 3:00:16 a.m.;44;201
OCUPACIÓN HOSPITALIZACIÓN;9/09/2020 6:00:47 a.m.;39;206
OCUPACIÓN HOSPITALIZACIÓN;10/09/2020 3:00:25 a.m.;38;207
OCUPACIÓN HOSPITALIZACIÓN;10/09/2020 6:00:14 a.m.;38;207
OCUPACIÓN HOSPITALIZACIÓN;11/09/2020 3:00:24 a.m.;52;193
OCUPACIÓN HOSPITALIZACIÓN;11/09/2020 6:00:26 a.m.;52;193
OCUPACIÓN HOSPITALIZACIÓN;12/09/2020 3:00:25 a.m.;60;185
OCUPACIÓN HOSPITALIZACIÓN;12/09/2020 6:00:36 a.m.;58;187
OCUPACIÓN HOSPITALIZACIÓN;13/09/2020 3:00:18 a.m.;60;185
OCUPACIÓN HOSPITALIZACIÓN;13/09/2020 6:00:34 a.m.;59;186
OCUPACIÓN HOSPITALIZACIÓN;14/09/2020 3:00:27 a.m.;55;190
OCUPACIÓN HOSPITALIZACIÓN;15/09/2020 3:00:37 a.m.;52;193
OCUPACIÓN HOSPITALIZACIÓN;15/09/2020 6:00:33 a.m.;51;194
OCUPACIÓN HOSPITALIZACIÓN;16/09/2020 3:00:24 a.m.;66;179
OCUPACIÓN HOSPITALIZACIÓN;16/09/2020 6:00:11 a.m.;66;179
OCUPACIÓN HOSPITALIZACIÓN;17/09/2020 3:00:38 a.m.;68;177
OCUPACIÓN HOSPITALIZACIÓN;17/09/2020 6:00:33 a.m.;58;187
OCUPACIÓN HOSPITALIZACIÓN;18/09/2020 3:00:16 a.m.;63;182
OCUPACIÓN HOSPITALIZACIÓN;18/09/2020 6:00:33 a.m.;57;188
OCUPACIÓN HOSPITALIZACIÓN;19/09/2020 3:00:13 a.m.;54;191
OCUPACIÓN HOSPITALIZACIÓN;19/09/2020 6:00:31 a.m.;51;194
OCUPACIÓN HOSPITALIZACIÓN;20/09/2020 3:00:17 a.m.;45;200
OCUPACIÓN HOSPITALIZACIÓN;20/09/2020 6:00:23 a.m.;43;202
OCUPACIÓN HOSPITALIZACIÓN;21/09/2020 3:00:27 a.m.;38;205
OCUPACIÓN HOSPITALIZACIÓN;21/09/2020 6:00:37 a.m.;38;205
OCUPACIÓN HOSPITALIZACIÓN;22/09/2020 3:00:20 a.m.;41;201
OCUPACIÓN HOSPITALIZACIÓN;22/09/2020 6:00:19 a.m.;39;203
OCUPACIÓN HOSPITALIZACIÓN;23/09/2020 3:00:29 a.m.;46;196
OCUPACIÓN HOSPITALIZACIÓN;23/09/2020 6:00:26 a.m.;42;200
OCUPACIÓN HOSPITALIZACIÓN;24/09/2020 3:00:40 a.m.;49;193
OCUPACIÓN HOSPITALIZACIÓN;24/09/2020 6:00:19 a.m.;48;194
OCUPACIÓN HOSPITALIZACIÓN;25/09/2020 3:00:20 a.m.;62;181
OCUPACIÓN HOSPITALIZACIÓN;25/09/2020 6:00:29 a.m.;59;184
OCUPACIÓN HOSPITALIZACIÓN;26/09/2020 3:00:16 a.m.;58;185
OCUPACIÓN HOSPITALIZACIÓN;26/09/2020 6:00:18 a.m.;56;187
OCUPACIÓN HOSPITALIZACIÓN;27/09/2020 3:00:39 a.m.;45;200
OCUPACIÓN HOSPITALIZACIÓN;27/09/2020 6:00:17 a.m.;43;202
OCUPACIÓN HOSPITALIZACIÓN;28/09/2020 3:00:27 a.m.;19;226
OCUPACIÓN HOSPITALIZACIÓN;28/09/2020 6:00:33 a.m.;15;230
OCUPACIÓN HOSPITALIZACIÓN;29/09/2020 3:00:38 a.m.;29;216
OCUPACIÓN HOSPITALIZACIÓN;29/09/2020 6:00:30 a.m.;29;216
OCUPACIÓN HOSPITALIZACIÓN;30/09/2020 3:00:36 a.m.;34;211
OCUPACIÓN HOSPITALIZACIÓN;30/09/2020 6:00:15 a.m.;32;213
OCUPACIÓN HOSPITALIZACIÓN;1/10/2020 3:00:25 a.m.;30;215
OCUPACIÓN HOSPITALIZACIÓN;1/10/2020 6:00:28 a.m.;28;217
OCUPACIÓN HOSPITALIZACIÓN;2/10/2020 3:00:34 a.m.;39;206
OCUPACIÓN HOSPITALIZACIÓN;2/10/2020 6:00:23 a.m.;36;209
OCUPACIÓN HOSPITALIZACIÓN;3/10/2020 3:00:35 a.m.;54;191
OCUPACIÓN HOSPITALIZACIÓN;3/10/2020 6:00:34 a.m.;48;197
OCUPACIÓN HOSPITALIZACIÓN;4/10/2020 3:00:17 a.m.;57;188
OCUPACIÓN HOSPITALIZACIÓN;4/10/2020 6:00:35 a.m.;59;186
OCUPACIÓN HOSPITALIZACIÓN;5/10/2020 3:00:35 a.m.;54;191
OCUPACIÓN HOSPITALIZACIÓN;5/10/2020 6:00:40 a.m.;48;197
OCUPACIÓN HOSPITALIZACIÓN;6/10/2020 3:00:16 a.m.;37;208
OCUPACIÓN HOSPITALIZACIÓN;6/10/2020 6:00:33 a.m.;34;211
OCUPACIÓN HOSPITALIZACIÓN;7/10/2020 3:00:22 a.m.;35;210
OCUPACIÓN HOSPITALIZACIÓN;7/10/2020 6:00:29 a.m.;33;212
OCUPACIÓN HOSPITALIZACIÓN;8/10/2020 3:00:37 a.m.;34;211
OCUPACIÓN HOSPITALIZACIÓN;8/10/2020 6:00:26 a.m.;31;214
OCUPACIÓN HOSPITALIZACIÓN;9/10/2020 3:00:14 a.m.;37;207
OCUPACIÓN HOSPITALIZACIÓN;9/10/2020 6:00:39 a.m.;35;209
OCUPACIÓN HOSPITALIZACIÓN;10/10/2020 3:00:11 a.m.;47;196
OCUPACIÓN HOSPITALIZACIÓN;10/10/2020 6:00:26 a.m.;43;200
OCUPACIÓN HOSPITALIZACIÓN;11/10/2020 3:00:31 a.m.;53;191
OCUPACIÓN HOSPITALIZACIÓN;11/10/2020 6:00:09 a.m.;51;193
OCUPACIÓN HOSPITALIZACIÓN;12/10/2020 3:00:21 a.m.;45;200
OCUPACIÓN HOSPITALIZACIÓN;12/10/2020 6:00:36 a.m.;41;204
OCUPACIÓN HOSPITALIZACIÓN;13/10/2020 3:00:18 a.m.;25;220
OCUPACIÓN HOSPITALIZACIÓN;13/10/2020 6:00:21 a.m.;23;222
OCUPACIÓN HOSPITALIZACIÓN;14/10/2020 3:00:25 a.m.;23;222
OCUPACIÓN HOSPITALIZACIÓN;14/10/2020 6:00:31 a.m.;20;225
OCUPACIÓN HOSPITALIZACIÓN;15/10/2020 3:00:22 a.m.;44;201
OCUPACIÓN HOSPITALIZACIÓN;15/10/2020 6:00:41 a.m.;39;206
OCUPACIÓN HOSPITALIZACIÓN;16/10/2020 3:00:18 a.m.;42;203
OCUPACIÓN HOSPITALIZACIÓN;16/10/2020 6:00:13 a.m.;42;203
OCUPACIÓN HOSPITALIZACIÓN;17/10/2020 3:00:25 a.m.;44;201
OCUPACIÓN HOSPITALIZACIÓN;17/10/2020 6:00:26 a.m.;39;206
OCUPACIÓN HOSPITALIZACIÓN;18/10/2020 3:00:36 a.m.;38;204
OCUPACIÓN HOSPITALIZACIÓN;18/10/2020 6:00:19 a.m.;33;209
OCUPACIÓN HOSPITALIZACIÓN;19/10/2020 3:00:48 a.m.;30;211
OCUPACIÓN HOSPITALIZACIÓN;19/10/2020 6:00:36 a.m.;30;211
OCUPACIÓN HOSPITALIZACIÓN;20/10/2020 3:00:27 a.m.;24;217
OCUPACIÓN HOSPITALIZACIÓN;20/10/2020 6:00:28 a.m.;23;218
OCUPACIÓN HOSPITALIZACIÓN;21/10/2020 3:00:42 a.m.;24;213
OCUPACIÓN HOSPITALIZACIÓN;21/10/2020 6:00:13 a.m.;22;215
OCUPACIÓN HOSPITALIZACIÓN;22/10/2020 3:00:30 a.m.;29;209
OCUPACIÓN HOSPITALIZACIÓN;22/10/2020 6:00:14 a.m.;26;212
OCUPACIÓN HOSPITALIZACIÓN;23/10/2020 3:00:38 a.m.;38;200
OCUPACIÓN HOSPITALIZACIÓN;23/10/2020 6:00:19 a.m.;36;202
OCUPACIÓN HOSPITALIZACIÓN;24/10/2020 3:00:00 a.m.;46;191
OCUPACIÓN HOSPITALIZACIÓN;24/10/2020 6:00:00 a.m.;44;193
OCUPACIÓN HOSPITALIZACIÓN;25/10/2020 3:00:00 a.m.;56;184
OCUPACIÓN HOSPITALIZACIÓN;25/10/2020 6:00:00 a.m.;55;185
OCUPACIÓN HOSPITALIZACIÓN;26/10/2020 3:00:00 a.m.;42;198
OCUPACIÓN HOSPITALIZACIÓN;26/10/2020 6:00:00 a.m.;33;207
OCUPACIÓN HOSPITALIZACIÓN;27/10/2020 3:00:00 a.m.;31;210
OCUPACIÓN HOSPITALIZACIÓN;27/10/2020 6:00:00 a.m.;30;211
OCUPACIÓN HOSPITALIZACIÓN;28/10/2020 3:00:00 a.m.;35;206
OCUPACIÓN HOSPITALIZACIÓN;28/10/2020 6:00:00 a.m.;32;209
OCUPACIÓN HOSPITALIZACIÓN;29/10/2020 3:00:00 a.m.;38;203
OCUPACIÓN HOSPITALIZACIÓN;29/10/2020 6:00:00 a.m.;36;205
OCUPACIÓN HOSPITALIZACIÓN;30/10/2020 3:00:00 a.m.;48;193
OCUPACIÓN HOSPITALIZACIÓN;30/10/2020 6:00:00 a.m.;47;194
OCUPACIÓN HOSPITALIZACIÓN;1/11/2020 3:00:00 a.m.;46;195
OCUPACIÓN HOSPITALIZACIÓN;1/11/2020 6:00:00 a.m.;43;198
OCUPACIÓN HOSPITALIZACIÓN;2/11/2020 3:00:00 a.m.;37;204
OCUPACIÓN HOSPITALIZACIÓN;2/11/2020 6:00:00 a.m.;32;209
OCUPACIÓN HOSPITALIZACIÓN;3/11/2020 3:00:00 a.m.;19;221
OCUPACIÓN HOSPITALIZACIÓN;3/11/2020 6:00:00 a.m.;13;227
OCUPACIÓN HOSPITALIZACIÓN;4/11/2020 3:00:00 a.m.;27;213
OCUPACIÓN HOSPITALIZACIÓN;4/11/2020 6:00:00 a.m.;25;215
OCUPACIÓN HOSPITALIZACIÓN;5/11/2020 3:00:00 a.m.;22;217
OCUPACIÓN HOSPITALIZACIÓN;5/11/2020 6:00:00 a.m.;19;220
OCUPACIÓN HOSPITALIZACIÓN;6/11/2020 3:00:00 a.m.;21;218
OCUPACIÓN HOSPITALIZACIÓN;6/11/2020 6:00:00 a.m.;21;218
OCUPACIÓN HOSPITALIZACIÓN;7/11/2020 3:00:00 a.m.;28;211
OCUPACIÓN HOSPITALIZACIÓN;7/11/2020 6:00:00 a.m.;24;215
OCUPACIÓN HOSPITALIZACIÓN;8/11/2020 3:00:00 a.m.;44;195
OCUPACIÓN HOSPITALIZACIÓN;8/11/2020 6:00:00 a.m.;43;196
OCUPACIÓN HOSPITALIZACIÓN;9/11/2020 3:00:00 a.m.;40;198
OCUPACIÓN HOSPITALIZACIÓN;9/11/2020 6:00:00 a.m.;37;201
OCUPACIÓN HOSPITALIZACIÓN;10/11/2020 3:00:00 a.m.;21;217
OCUPACIÓN HOSPITALIZACIÓN;10/11/2020 6:00:00 a.m.;19;219
OCUPACIÓN HOSPITALIZACIÓN;11/11/2020 6:00:00 a.m.;7;229
OCUPACIÓN HOSPITALIZACIÓN;12/11/2020 3:00:00 a.m.;15;221
OCUPACIÓN HOSPITALIZACIÓN;13/11/2020 3:00:00 a.m.;19;211
OCUPACIÓN HOSPITALIZACIÓN;13/11/2020 6:00:00 a.m.;19;211
OCUPACIÓN HOSPITALIZACIÓN;14/11/2020 3:00:00 a.m.;33;197
OCUPACIÓN HOSPITALIZACIÓN;14/11/2020 6:00:00 a.m.;30;200
OCUPACIÓN HOSPITALIZACIÓN;15/11/2020 3:00:00 a.m.;38;192
OCUPACIÓN HOSPITALIZACIÓN;15/11/2020 6:00:00 a.m.;26;203
OCUPACIÓN HOSPITALIZACIÓN;16/11/2020 3:00:00 a.m.;33;195
OCUPACIÓN HOSPITALIZACIÓN;16/11/2020 6:00:00 a.m.;30;198
OCUPACIÓN HOSPITALIZACIÓN;17/11/2020 3:00:00 a.m.;20;210
OCUPACIÓN HOSPITALIZACIÓN;17/11/2020 6:00:00 a.m.;12;218
OCUPACIÓN HOSPITALIZACIÓN;18/11/2020 3:00:00 a.m.;25;211
OCUPACIÓN HOSPITALIZACIÓN;18/11/2020 6:00:00 a.m.;24;212
OCUPACIÓN HOSPITALIZACIÓN;19/11/2020 3:00:00 a.m.;16;220
OCUPACIÓN HOSPITALIZACIÓN;19/11/2020 6:00:00 a.m.;12;224
OCUPACIÓN HOSPITALIZACIÓN;20/11/2020 3:00:00 a.m.;23;213
OCUPACIÓN HOSPITALIZACIÓN;20/11/2020 6:00:00 a.m.;21;215
OCUPACIÓN HOSPITALIZACIÓN;21/11/2020 3:00:00 a.m.;28;209
OCUPACIÓN HOSPITALIZACIÓN;21/11/2020 6:00:00 a.m.;28;209
